ProductId,Qty
019239664b3770279ae99f41ca54aaf8,32
019239664b34708b90467834139f8bb4,74
0192396652bc71fc820d682590aa6cb6,29
019239664814732db5dbf87be1a10d4e,95
01923966427b71249e1e8e21d5d7223a,62
019239664b3770279ae99f41ca54aaf8,30
019239664b26705299ef05b8ab88eb8a,51
0192396632f8727c84716762ca20430f,96
0192396632fa71d4ab26a99bd24ccf76,40
0192396632fa71d4ab26a99bd26c8023,78
0192396632fa71d4ab26a99bd31b6457,88
0192396632fa71d4ab26a99bd36854d2,44
0192396632fa71d4ab26a99bd3e77087,66
0192396632fa71d4ab26a99bd4189a6a,25
0192396632fa71d4ab26a99bd4bc93da,45
0192396632fb723a92f29504f1d7f7f6,46
0192396632fb723a92f29504f29349b7,49
0192396632fb723a92f29504f31f3581,89
0192396632fb723a92f29504f331e025,98
0192396632fb723a92f29504f3a584c0,17
0192396632fb723a92f29504f4907af1,84
0192396632fb723a92f29504f5802c81,48
0192396632fb723a92f29504f5a4e66a,35
0192396632fb723a92f29504f5df06d8,94
0192396632fb723a92f29504f6cfeb84,21
0192396632fb723a92f29504f71a0431,82
0192396632fb723a92f29504f73e5761,47
0192396632fb723a92f29504f7cb7358,6
0192396632fb723a92f29504f8be0447,63
0192396632fb723a92f29504f93d265b,58
0192396632fb723a92f29504f9d8c508,87
0192396632fb723a92f29504f9dca656,25
0192396632fb723a92f29504faa7d953,21
0192396632fb723a92f29504fb0ceba6,81
0192396632fb723a92f29504fbc69317,73
0192396632fb723a92f29504fcb94d90,8
0192396632fb723a92f29504fd2d14c2,41
0192396632fb723a92f29504fdc02fcf,52
0192396632fb723a92f29504fe3d4f17,39
0192396632fb723a92f29504fef83463,82
0192396632fb723a92f29504ff442489,20
0192396632fb723a92f29504ffa6585d,65
0192396632fb723a92f29505009b39d6,30
0192396632fb723a92f29505014b05ed,52
0192396632fb723a92f295050239dd17,38
0192396632fb723a92f295050324d670,61
0192396632fb723a92f29505032d1fec,97
0192396632fb723a92f2950503ac05e2,82
0192396632fb723a92f29505043bcdb4,57
0192396632fb723a92f29505046ed785,52
0192396632fb723a92f29505047fe559,72
0192396632fb723a92f295050496f302,78
0192396632fc71199906ab013dca67b4,29
0192396632fc71199906ab013ee71e97,65
0192396632fc71199906ab013f73e0fd,41
0192396632fc71199906ab014046a524,31
0192396632fc71199906ab01411e6a2b,69
0192396632fc71199906ab014132c40f,9
0192396632fc71199906ab01413b2fb1,49
0192396632fc71199906ab0141875e93,36
0192396632fc71199906ab01424427e8,52
0192396632fc71199906ab01424b5c0c,85
0192396632fc71199906ab0142db7e30,74
0192396632fc71199906ab01438d6074,64
0192396632fc71199906ab0143e7f824,1
0192396632fc71199906ab014434abaa,87
0192396632fc71199906ab0144d00b5c,26
0192396632fc71199906ab0144da3a3f,29
0192396632fc71199906ab0145a34a3e,55
0192396632fc71199906ab0146600ec9,72
0192396632fc71199906ab0146cc796d,25
0192396632fc71199906ab0146f26499,78
0192396632fc71199906ab01475fa557,43
0192396632fc71199906ab0147885c34,35
0192396632fc71199906ab0147a8eb48,3
0192396632fc71199906ab0147b49b84,100
0192396632fc71199906ab014821aec8,17
0192396632fc71199906ab0148bfa9c4,2
0192396632fc71199906ab01496c51ed,94
0192396632ff7088bb8d1b9e41e8f892,34
019239663301716bb8b2296b7e6baf21,70
0192396633037046a43df8e9a313cbbb,3
0192396633057222afe419293d4da162,97
019239663307730f8c9fd3870e7d2296,100
01923966330971128f55b330651aca75,86
01923966330b738fa4921ef43c2fd0a7,34
01923966330d704f8631b4888530a060,66
01923966330f73dc8cb4122f0e35c346,24
019239663311735c81a1834d8803e91e,18
0192396633137048bf3c35b1d5c736e4,51
019239663315736487a4149bccb71e1e,2
019239663318737db6565c9585dcb213,49
01923966331a72c6ac2fb6f78b1304cc,56
01923966331c72829e25b2684ec878f6,74
01923966331e70078caf617bc95ae454,73
01923966332071d4b72c9c9f2f7f0499,49
01923966332273be81371873b13a0998,7
019239663a1272f5800913526a38ec21,47
019239663a1670898ace99092ac552e7,94
019239663a19708599071a891301353b,34
019239663a1b71d09d6c0e7d039d4e73,28
019239663a1e70d6aaf488c5e1fde0a9,53
019239663a217014ad828c37d03d3e58,37
019239663a2370409e91a93040007eda,62
019239663a2773e98dec2aa8b799ee8f,8
019239663a2971d1b08f8ed2c5d79f98,72
019239663a2c738cb1a6372b18f3c2d9,45
019239663a2f720083f2d936fbd4faf0,48
019239663a327271b0d9f1461b3ef5b5,44
019239663a3471cb8cfe41d73718ff9a,99
019239663a3773c4a2688d9f907ac128,64
019239663a3b71f9bb224837f247f2ae,98
019239663a3e71ebac365b9e419caf04,79
019239663a4072f1bf476e2b96f89d62,27
019239663a437132b081182398f863a0,48
019239663a4570d08872abedd44bd2c9,76
